iter	Passed	Remaining
401	162809	82657
402	162813	82031
403	163320	81660
404	163866	81307
405	163869	80687
406	164175	80217
407	164752	79879
408	165231	79494
409	165742	79123
410	165744	78510
411	166346	78182
412	166848	77807
413	167452	77478
414	168040	77139
415	168586	76782
416	169219	76462
417	169795	76115
418	170312	75740
419	170314	75138
420	170315	74539
421	170871	74183
422	171473	73846
423	171991	73472
424	172595	73133
425	172600	72542
426	172668	71979
427	173270	71640
428	173770	71258
429	174397	70927
430	174959	70568
431	175614	70245
432	175622	69665
433	176176	69301
434	176800	68964
435	177430	68628
436	177637	68129
437	178339	67819
438	179007	67494
439	179666	67165
440	180308	66827
441	181085	66538
442	181710	66191
443	182487	65898
444	183186	65574
445	183192	65003
446	183837	64660
447	183840	64091
448	183842	63524
449	183844	62960
450	183847	62399
451	183849	61840
452	184500	61500
453	185170	61164
454	185174	60610
455	185195	60063
456	185834	59717
457	186484	59373
458	187219	59055
459	187816	58692
460	188422	58331
461	189092	57988
462	189096	57441
463	189797	57107
464	190374	56734
465	191003	56375
466	191007	55832
467	191730	55501
468	191733	54960
469	192413	54615
470	193016	54246
471	193616	53875
472	193622	53340
473	194325	52997
474	194330	52464
475	194331	51933
476	194334	51404
477	194960	51041
478	195547	50666
479	196187	50304
480	196732	49917
481	196744	49395
482	197435	49044
483	197985	48657
484	198652	48298
485	198739	47798
486	199373	47429
487	199375	46911
488	199965	46532
489	200143	46058
490	200812	45696
491	200815	45183
492	200827	44674
493	201423	44296
494	202007	43914
495	202011	43407
496	202666	43040
497	202669	42535
498	202679	42034
499	203298	41659
500	204038	41308
501	204598	40919
502	205305	40559
503	205946	40184
504	205948	39685
505	206608	39314
506	207233	38934
507	207882	38558
508	207888	38064
509	208500	37680
510	209175	37307
511	209731	36912
512	209760	36425
513	210322	36031
514	210947	35647
515	211592	35265
516	212178	34872
517	212733	34474
518	213388	34091
519	214065	33711
520	214716	33325
521	214718	32839
522	214720	32355
523	215339	31964
524	215939	31570
525	216618	31186
526	216620	30705
527	216624	30226
528	217275	29838
529	217280	29362
530	217871	28965
531	218515	28575
532	219209	28190
533	219905	27804
534	220527	27407
535	220531	26935
536	220533	26463
537	221178	26070
538	221858	25680
539	221862	25211
540	221865	24744
541	222429	24341
542	223046	23942
543	223728	23550
544	223731	23086
545	224314	22683
546	224874	22277
547	225494	21876
548	226056	21469
549	226708	21069
550	227360	20669
551	227971	20264
552	227982	19806
553	228019	19352
554	228651	18949
555	229292	18545
556	229954	18143
557	230539	17733
558	230541	17280
559	230553	16828
560	231196	16423
561	231823	16016
562	231829	15567
563	231831	15119
564	232488	14714
565	233034	14301
566	233036	13856
567	233595	13444
568	234267	13038
569	234911	12629
570	235502	12217
571	236124	11806
572	236808	11397
573	237474	10986
574	238138	10574
575	238738	10159
576	239335	9742
577	239881	9324
578	240479	8906
579	240482	8467
580	240508	8031
581	241089	7613
582	241716	7196
583	242354	6779
584	243033	6362
585	243036	5927
586	243039	5494
587	243041	5063
588	243667	4645
589	243680	4215
590	243686	3787
591	244241	3368
592	244862	2950
593	245453	2530
594	246027	2110
595	246711	1689
596	247302	1268
597	247585	845
598	247587	421
599	247593	0
