iter	Logloss
0	0.6886639579
1	0.6835371525
2	0.6788287651
3	0.6750270829
4	0.6714115434
5	0.6669990857
6	0.6640556507
7	0.6600711065
8	0.6571605466
9	0.6520700456
10	0.6477061152
11	0.6447405329
12	0.6413405768
13	0.6366012146
14	0.6326672592
15	0.6282860806
16	0.6248222549
17	0.6201710188
18	0.6160446214
19	0.6118352609
20	0.6094568627
21	0.6071209646
22	0.6047405101
23	0.6009647997
24	0.598068941
25	0.5953938768
26	0.5916046997
27	0.5888348226
28	0.5863277169
29	0.5841439925
30	0.5806673752
31	0.5788434856
32	0.575340199
33	0.5737763074
34	0.5714974577
35	0.5693543456
36	0.5670212795
37	0.5650562506
38	0.5639441992
39	0.5613944055
40	0.558837298
41	0.5568559381
42	0.5556784983
43	0.5532808218
44	0.5508037612
45	0.5481022137
46	0.5451840885
47	0.5437671221
48	0.5423517376
49	0.5400731693
50	0.5375387879
51	0.5351028903
52	0.5330226547
53	0.5318461541
54	0.5291203516
55	0.5282184334
56	0.5267506144
57	0.5254858859
58	0.5232770302
59	0.5216648664
60	0.5207749843
61	0.5184626837
62	0.5160853902
63	0.5150656651
64	0.51371493
65	0.5120344286
66	0.5108103614
67	0.5097218026
68	0.50761154
69	0.5053189339
70	0.5032352556
71	0.5023228284
72	0.4999109872
73	0.4991957699
74	0.497606643
75	0.4969334095
76	0.4949492065
77	0.4944331707
78	0.4935426286
79	0.4930493886
80	0.4913819889
81	0.4904003352
82	0.4897719718
83	0.4880809967
84	0.485712489
85	0.4854259812
86	0.4840180878
87	0.4834123223
88	0.482068804
89	0.4810560417
90	0.478963989
91	0.4772591299
92	0.4763812538
93	0.4750362146
94	0.473404887
95	0.4722130395
96	0.4703192993
97	0.4699522148
98	0.4683214106
99	0.4670901334
100	0.4659816965
101	0.4644421376
102	0.4632541125
103	0.4617874844
104	0.4599669606
105	0.459628016
106	0.4591961259
107	0.4578424797
108	0.4567940665
109	0.4549358775
110	0.454702048
111	0.4535300621
112	0.4522463025
113	0.4508255684
114	0.4506052543
115	0.4495250754
116	0.4483622933
117	0.4471163232
118	0.4468140012
119	0.4464236411
120	0.445141557
121	0.4441467005
122	0.442433084
123	0.44218781
124	0.4410832293
125	0.440761549
126	0.4395963932
127	0.4383972036
128	0.4371963406
129	0.436211511
130	0.4349906451
131	0.433598579
132	0.4326553454
133	0.4316796598
134	0.430879492
135	0.4303041649
136	0.4301277229
137	0.4291055122
138	0.4289552232
139	0.427996525
140	0.4263108169
141	0.4254491849
142	0.4246267621
143	0.4238323235
144	0.4227514432
145	0.4218543113
